ref,part,value,qty,source,footprint,notes
U1,Seeed XIAO RP2040,RP2040,1,Hackpad kit,XIAO_2x1x7_PinHeader,through-hole MCU on 2x 1x7 sockets
SW1-SW12,MX mechanical switch,MX,12,Hackpad kit (12/16 used),SW_Cherry_MX_1.00u_PCB,4x3 matrix at 19.05 mm pitch
KEYCAP,DSA blank keycap (white),DSA,12,Hackpad kit (12/16 used),n/a,one per switch
D1-D12,Diode,1N4148 (DO-35),12,Hackpad kit (12/20 used),D_DO-35_SOD27_P7.62mm_Horizontal,COL2ROW; cathode stripe toward row trace
ENC1,Rotary encoder,Alps EC11 (no push wired),1,Hackpad kit (1/2 used),RotaryEncoder_Alps_EC11E_Vertical_H20mm,A/B phases + C (GND)
OLED1,OLED display,SSD1306 128x32 (0.91"),1,Hackpad kit,Conn_01x04 (GND-VCC-SCL-SDA),I2C addr 0x3C
LED (optional),Addressable RGB,SK6812 MINI-E,0,Hackpad kit,n/a,not used (all 11 GPIO are consumed)
MH1-MH4,Mounting hole,M3 clearance,4,n/a,MountingHole_3.2mm_M3,corner hole pattern (+/-42 +/-42)
SCREW,Socket head screw,M3x16,4,Hackpad kit (4/6 used),n/a,top plate into bottom-tray heatset inserts; STL: production/M3x16_Screw.stl
INSERT,Brass heatset insert,M3x5x4,4,Hackpad kit (4/6 used),n/a,melt into bottom-tray bosses (4.0 mm pilot); STL: production/HeatsetInsert_M3x5x4.stl
CASE_TOP,3D-printed top plate,PLA/PETG,1,production/Top.stl,n/a,12 MX cutouts + encoder hole + OLED window + XIAO inspection
CASE_BOTTOM,3D-printed bottom tray,PLA/PETG,1,production/Bottom.stl,n/a,4x M3 heatset bosses + USB-C side cutout
